atraso,aluno_id,falta,criado_em,primeira_metade
atrasado,174,TRUE,2024-04-11 22:01:02.979956,FALSE
atrasado,175,TRUE,2024-04-11 22:01:02.990146,FALSE
atrasado,176,TRUE,2024-04-11 22:01:02.991754,FALSE
atrasado,177,TRUE,2024-04-11 22:01:02.993235,FALSE
atrasado,178,TRUE,2024-04-11 22:01:02.994660,FALSE
atrasado,179,TRUE,2024-04-11 22:01:02.996122,FALSE
atrasado,180,TRUE,2024-04-11 22:01:02.997578,FALSE
atrasado,181,TRUE,2024-04-11 22:01:02.999038,FALSE
atrasado,182,TRUE,2024-04-11 22:01:03.000572,FALSE
atrasado,183,TRUE,2024-04-11 22:01:03.002097,FALSE
atrasado,184,TRUE,2024-04-11 22:01:03.016965,FALSE
atrasado,185,TRUE,2024-04-11 22:01:03.018747,FALSE
atrasado,186,TRUE,2024-04-11 22:01:03.021368,FALSE
atrasado,187,TRUE,2024-04-11 22:01:03.022769,FALSE
atrasado,188,TRUE,2024-04-11 22:01:03.027676,FALSE
atrasado,189,TRUE,2024-04-11 22:01:03.029005,FALSE
atrasado,190,TRUE,2024-04-11 22:01:03.030332,FALSE
atrasado,191,TRUE,2024-04-11 22:01:03.031699,FALSE
atrasado,192,TRUE,2024-04-11 22:01:03.033045,FALSE
atrasado,193,TRUE,2024-04-11 22:01:03.034362,FALSE
atrasado,194,TRUE,2024-04-11 22:01:03.036144,FALSE
atrasado,195,TRUE,2024-04-11 22:01:03.037758,FALSE
atrasado,196,TRUE,2024-04-11 22:01:03.039141,FALSE
atrasado,197,TRUE,2024-04-11 22:01:03.042092,FALSE
atrasado,198,TRUE,2024-04-11 22:01:03.043536,FALSE
atrasado,199,TRUE,2024-04-11 22:01:03.045031,FALSE
atrasado,200,TRUE,2024-04-11 22:01:03.046483,FALSE
atrasado,201,TRUE,2024-04-11 22:01:03.047917,FALSE
atrasado,202,TRUE,2024-04-11 22:01:03.049482,FALSE
atrasado,203,TRUE,2024-04-11 22:01:03.050931,FALSE
atrasado,204,TRUE,2024-04-11 22:01:03.052380,FALSE
atrasado,205,TRUE,2024-04-11 22:01:03.053799,FALSE
atrasado,206,TRUE,2024-04-11 22:01:03.055245,FALSE
atrasado,207,TRUE,2024-04-11 22:01:03.056685,FALSE
atrasado,208,TRUE,2024-04-11 22:01:03.058689,FALSE
atrasado,209,TRUE,2024-04-11 22:01:03.060142,FALSE
atrasado,210,TRUE,2024-04-11 22:01:03.061582,FALSE
atrasado,211,TRUE,2024-04-11 22:01:03.063006,FALSE
atrasado,212,TRUE,2024-04-11 22:01:03.064449,FALSE
atrasado,213,TRUE,2024-04-11 22:01:03.065895,FALSE
atrasado,214,TRUE,2024-04-11 22:01:03.067391,FALSE
atrasado,215,TRUE,2024-04-11 22:01:03.068842,FALSE
atrasado,216,TRUE,2024-04-11 22:01:03.070290,FALSE
atrasado,217,TRUE,2024-04-11 22:01:03.071724,FALSE
atrasado,218,TRUE,2024-04-11 22:01:03.073167,FALSE
atrasado,219,TRUE,2024-04-11 22:01:03.074772,FALSE
atrasado,220,TRUE,2024-04-11 22:01:03.076231,FALSE
atrasado,221,TRUE,2024-04-11 22:01:03.077671,FALSE
atrasado,222,TRUE,2024-04-11 22:01:03.079247,FALSE
atrasado,223,TRUE,2024-04-11 22:01:03.080681,FALSE
atrasado,224,TRUE,2024-04-11 22:01:03.082144,FALSE
atrasado,225,TRUE,2024-04-11 22:01:03.083574,FALSE
atrasado,226,TRUE,2024-04-11 22:01:03.085010,FALSE
atrasado,227,TRUE,2024-04-11 22:01:03.086556,FALSE
atrasado,228,TRUE,2024-04-11 22:01:03.089029,FALSE
atrasado,229,TRUE,2024-04-11 22:01:03.091263,FALSE
atrasado,230,TRUE,2024-04-11 22:01:03.243959,FALSE
atrasado,231,TRUE,2024-04-11 22:01:03.246410,FALSE
atrasado,232,TRUE,2024-04-11 22:01:03.247987,FALSE
atrasado,233,TRUE,2024-04-11 22:01:03.251574,FALSE
atrasado,234,TRUE,2024-04-11 22:01:03.252809,FALSE
atrasado,235,TRUE,2024-04-11 22:01:03.254007,FALSE
atrasado,236,TRUE,2024-04-11 22:01:03.255742,FALSE
atrasado,237,TRUE,2024-04-11 22:01:03.256930,FALSE
atrasado,120,TRUE,2024-04-12 20:01:01.955306,TRUE
atrasado,121,TRUE,2024-04-12 20:01:01.957598,TRUE
atrasado,122,TRUE,2024-04-12 20:01:01.959538,TRUE
atrasado,123,TRUE,2024-04-12 20:01:01.961116,TRUE
atrasado,124,TRUE,2024-04-12 20:01:01.962611,TRUE
atrasado,125,TRUE,2024-04-12 20:01:01.964582,TRUE
atrasado,126,TRUE,2024-04-12 20:01:01.965977,TRUE
atrasado,127,TRUE,2024-04-12 20:01:01.967319,TRUE
atrasado,128,TRUE,2024-04-12 20:01:01.968670,TRUE
atrasado,129,TRUE,2024-04-12 20:01:01.970470,TRUE
atrasado,130,TRUE,2024-04-12 20:01:01.971982,TRUE
atrasado,131,TRUE,2024-04-12 20:01:01.973422,TRUE
atrasado,132,TRUE,2024-04-12 20:01:01.975331,TRUE
atrasado,133,TRUE,2024-04-12 20:01:01.976960,TRUE
atrasado,134,TRUE,2024-04-12 20:01:01.978513,TRUE
atrasado,135,TRUE,2024-04-12 20:01:01.979798,TRUE
atrasado,136,TRUE,2024-04-12 20:01:01.981265,TRUE
atrasado,137,TRUE,2024-04-12 20:01:01.982506,TRUE
atrasado,138,TRUE,2024-04-12 20:01:01.984215,TRUE
